# train length : 22092
[i] epoch = 1, loss = 0.0319, train_time = 2sec
[i] epoch = 2, loss = 0.0312, train_time = 1sec
[i] epoch = 3, loss = 0.0306, train_time = 1sec
[i] epoch = 4, loss = 0.0300, train_time = 1sec
[i] epoch = 5, loss = 0.0295, train_time = 1sec
[i] epoch = 6, loss = 0.0291, train_time = 1sec
[i] epoch = 7, loss = 0.0287, train_time = 1sec
[i] epoch = 8, loss = 0.0284, train_time = 1sec
[i] epoch = 9, loss = 0.0281, train_time = 1sec
[i] epoch = 10, loss = 0.0278, train_time = 1sec
[i] epoch = 11, loss = 0.0276, train_time = 1sec
[i] epoch = 12, loss = 0.0274, train_time = 1sec
[i] epoch = 13, loss = 0.0272, train_time = 1sec
[i] epoch = 14, loss = 0.0270, train_time = 1sec
[i] epoch = 15, loss = 0.0268, train_time = 1sec
[i] epoch = 16, loss = 0.0266, train_time = 1sec
[i] epoch = 17, loss = 0.0264, train_time = 1sec
[i] epoch = 18, loss = 0.0263, train_time = 1sec
[i] epoch = 19, loss = 0.0261, train_time = 1sec
[i] epoch = 20, loss = 0.0260, train_time = 1sec
[i] epoch = 21, loss = 0.0258, train_time = 1sec
[i] epoch = 22, loss = 0.0257, train_time = 1sec
[i] epoch = 23, loss = 0.0256, train_time = 1sec
[i] epoch = 24, loss = 0.0255, train_time = 1sec
[i] epoch = 25, loss = 0.0254, train_time = 1sec
[i] epoch = 26, loss = 0.0252, train_time = 1sec
[i] epoch = 27, loss = 0.0251, train_time = 1sec
[i] epoch = 28, loss = 0.0250, train_time = 1sec
[i] epoch = 29, loss = 0.0250, train_time = 1sec
[i] epoch = 30, loss = 0.0249, train_time = 1sec
[i] epoch = 31, loss = 0.0248, train_time = 1sec
[i] epoch = 32, loss = 0.0247, train_time = 1sec
[i] epoch = 33, loss = 0.0246, train_time = 1sec
[i] epoch = 34, loss = 0.0245, train_time = 1sec
[i] epoch = 35, loss = 0.0245, train_time = 1sec
[i] epoch = 36, loss = 0.0244, train_time = 1sec
[i] epoch = 37, loss = 0.0243, train_time = 1sec
[i] epoch = 38, loss = 0.0243, train_time = 1sec
[i] epoch = 39, loss = 0.0242, train_time = 1sec
[i] epoch = 40, loss = 0.0241, train_time = 1sec
[i] epoch = 41, loss = 0.0241, train_time = 1sec
[i] epoch = 42, loss = 0.0240, train_time = 1sec
[i] epoch = 43, loss = 0.0239, train_time = 1sec
[i] epoch = 44, loss = 0.0239, train_time = 1sec
[i] epoch = 45, loss = 0.0238, train_time = 1sec
[i] epoch = 46, loss = 0.0237, train_time = 1sec
