# train length : 91
[i] iter = 1000, loss = 0.2782, train_time = 10sec
[i] iter = 2000, loss = 0.2519, train_time = 8sec
[i] iter = 3000, loss = 0.2296, train_time = 8sec
[i] iter = 4000, loss = 0.2079, train_time = 9sec
[i] iter = 5000, loss = 0.1892, train_time = 8sec
[i] iter = 6000, loss = 0.1762, train_time = 9sec
[i] iter = 7000, loss = 0.1624, train_time = 8sec
[i] iter = 8000, loss = 0.1498, train_time = 9sec
[i] iter = 9000, loss = 0.1404, train_time = 8sec
[i] iter = 10000, loss = 0.1314, train_time = 9sec
[i] iter = 11000, loss = 0.1231, train_time = 9sec
[i] iter = 12000, loss = 0.1159, train_time = 8sec
[i] iter = 13000, loss = 0.1109, train_time = 8sec
[i] iter = 14000, loss = 0.1052, train_time = 8sec
[i] iter = 15000, loss = 0.0995, train_time = 8sec
[i] iter = 16000, loss = 0.0971, train_time = 8sec
[i] iter = 17000, loss = 0.0933, train_time = 8sec
[i] iter = 18000, loss = 0.0899, train_time = 8sec
[i] iter = 19000, loss = 0.0866, train_time = 8sec
[i] iter = 20000, loss = 0.0848, train_time = 8sec
[i] iter = 21000, loss = 0.0830, train_time = 9sec
[i] iter = 22000, loss = 0.0812, train_time = 8sec
[i] iter = 23000, loss = 0.0788, train_time = 8sec
[i] iter = 24000, loss = 0.0772, train_time = 8sec
[i] iter = 25000, loss = 0.0764, train_time = 8sec
[i] iter = 26000, loss = 0.0755, train_time = 8sec
[i] iter = 27000, loss = 0.0745, train_time = 8sec
[i] iter = 28000, loss = 0.0735, train_time = 8sec
[i] iter = 29000, loss = 0.0728, train_time = 8sec
[i] iter = 30000, loss = 0.0722, train_time = 9sec
[i] iter = 31000, loss = 0.0714, train_time = 9sec
[i] iter = 32000, loss = 0.0712, train_time = 8sec
[i] iter = 33000, loss = 0.0709, train_time = 8sec
[i] iter = 34000, loss = 0.0709, train_time = 8sec
[i] iter = 35000, loss = 0.0698, train_time = 8sec
[i] iter = 36000, loss = 0.0697, train_time = 8sec
[i] iter = 37000, loss = 0.0699, train_time = 8sec
[i] iter = 38000, loss = 0.0696, train_time = 8sec
[i] iter = 39000, loss = 0.0694, train_time = 8sec
[i] iter = 40000, loss = 0.0691, train_time = 8sec
[i] iter = 41000, loss = 0.0692, train_time = 9sec
[i] iter = 42000, loss = 0.0693, train_time = 8sec
[i] iter = 43000, loss = 0.0690, train_time = 8sec
[i] iter = 44000, loss = 0.0688, train_time = 8sec
[i] iter = 45000, loss = 0.0684, train_time = 8sec
[i] iter = 46000, loss = 0.0686, train_time = 8sec
[i] iter = 47000, loss = 0.0688, train_time = 8sec
[i] iter = 48000, loss = 0.0691, train_time = 8sec
[i] iter = 49000, loss = 0.0686, train_time = 8sec
[i] iter = 50000, loss = 0.0685, train_time = 8sec
[i] iter = 51000, loss = 0.0685, train_time = 9sec
[i] iter = 52000, loss = 0.0682, train_time = 8sec
[i] iter = 53000, loss = 0.0686, train_time = 8sec
[i] iter = 54000, loss = 0.0679, train_time = 8sec
[i] iter = 55000, loss = 0.0684, train_time = 8sec
[i] iter = 56000, loss = 0.0685, train_time = 8sec
[i] iter = 57000, loss = 0.0690, train_time = 8sec
[i] iter = 58000, loss = 0.0684, train_time = 9sec
[i] iter = 59000, loss = 0.0682, train_time = 8sec
[i] iter = 60000, loss = 0.0680, train_time = 8sec
[i] iter = 61000, loss = 0.0681, train_time = 8sec
[i] iter = 62000, loss = 0.0684, train_time = 8sec
[i] iter = 63000, loss = 0.0682, train_time = 8sec
[i] iter = 64000, loss = 0.0682, train_time = 8sec
[i] iter = 65000, loss = 0.0680, train_time = 8sec
[i] iter = 66000, loss = 0.0683, train_time = 8sec
[i] iter = 67000, loss = 0.0686, train_time = 8sec
[i] iter = 68000, loss = 0.0679, train_time = 8sec
[i] iter = 69000, loss = 0.0686, train_time = 8sec
[i] iter = 70000, loss = 0.0684, train_time = 8sec
[i] iter = 71000, loss = 0.0684, train_time = 8sec
[i] iter = 72000, loss = 0.0680, train_time = 8sec
[i] iter = 73000, loss = 0.0684, train_time = 8sec
[i] iter = 74000, loss = 0.0680, train_time = 8sec
[i] iter = 75000, loss = 0.0682, train_time = 8sec
[i] iter = 76000, loss = 0.0681, train_time = 8sec
[i] iter = 77000, loss = 0.0684, train_time = 8sec
[i] iter = 78000, loss = 0.0682, train_time = 8sec
[i] iter = 79000, loss = 0.0680, train_time = 8sec
[i] iter = 80000, loss = 0.0685, train_time = 8sec
[i] iter = 81000, loss = 0.0683, train_time = 8sec
[i] iter = 82000, loss = 0.0683, train_time = 8sec
[i] iter = 83000, loss = 0.0680, train_time = 8sec
[i] iter = 84000, loss = 0.0683, train_time = 8sec
[i] iter = 85000, loss = 0.0684, train_time = 8sec
[i] iter = 86000, loss = 0.0680, train_time = 8sec
[i] iter = 87000, loss = 0.0681, train_time = 8sec
[i] iter = 88000, loss = 0.0679, train_time = 8sec
[i] iter = 89000, loss = 0.0677, train_time = 8sec
[i] iter = 90000, loss = 0.0675, train_time = 8sec
[i] iter = 91000, loss = 0.0684, train_time = 9sec
[i] iter = 92000, loss = 0.0684, train_time = 8sec
[i] iter = 93000, loss = 0.0681, train_time = 8sec
[i] iter = 94000, loss = 0.0676, train_time = 8sec
[i] iter = 95000, loss = 0.0682, train_time = 8sec
[i] iter = 96000, loss = 0.0674, train_time = 8sec
[i] iter = 97000, loss = 0.0677, train_time = 8sec
[i] iter = 98000, loss = 0.0679, train_time = 8sec
[i] iter = 99000, loss = 0.0678, train_time = 8sec
[i] iter = 100000, loss = 0.0680, train_time = 8sec
[i] iter = 101000, loss = 0.0676, train_time = 9sec
[i] iter = 102000, loss = 0.0680, train_time = 8sec
[i] iter = 103000, loss = 0.0679, train_time = 8sec
[i] iter = 104000, loss = 0.0676, train_time = 8sec
[i] iter = 105000, loss = 0.0679, train_time = 8sec
[i] iter = 106000, loss = 0.0680, train_time = 8sec
[i] iter = 107000, loss = 0.0679, train_time = 8sec
[i] iter = 108000, loss = 0.0676, train_time = 8sec
[i] iter = 109000, loss = 0.0676, train_time = 8sec
[i] iter = 110000, loss = 0.0679, train_time = 8sec
[i] iter = 111000, loss = 0.0677, train_time = 9sec
[i] iter = 112000, loss = 0.0675, train_time = 8sec
[i] iter = 113000, loss = 0.0678, train_time = 8sec
[i] iter = 114000, loss = 0.0681, train_time = 8sec
[i] iter = 115000, loss = 0.0675, train_time = 8sec
[i] iter = 116000, loss = 0.0674, train_time = 8sec
[i] iter = 117000, loss = 0.0674, train_time = 8sec
[i] iter = 118000, loss = 0.0674, train_time = 8sec
[i] iter = 119000, loss = 0.0673, train_time = 8sec
[i] iter = 120000, loss = 0.0675, train_time = 8sec
[i] iter = 121000, loss = 0.0666, train_time = 9sec
[i] iter = 122000, loss = 0.0673, train_time = 9sec
[i] iter = 123000, loss = 0.0673, train_time = 9sec
[i] iter = 124000, loss = 0.0668, train_time = 8sec
[i] iter = 125000, loss = 0.0670, train_time = 8sec
[i] iter = 126000, loss = 0.0663, train_time = 8sec
[i] iter = 127000, loss = 0.0671, train_time = 9sec
[i] iter = 128000, loss = 0.0667, train_time = 9sec
